method,best_epoch,stop_reason,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_acc,val_mean_f1,val_worst_acc,val_worst_f1,target_acc,target_f1,target_delta_acc,source_target_gap_acc,domain_separability,feat_norm_source,feat_norm_target
source_only,3,early_stopping,0.9581,0.949,0.9171,0.9178,0.9424,0.944,0.9392,0.9369,0.9171,0.9178,0.5887,0.6045,0.0,0.3505,0.9986,59.2804,38.6238
dan,11,early_stopping,0.976,0.9721,0.9122,0.9159,0.9488,0.9541,0.9457,0.9474,0.9122,0.9159,0.594,0.5563,0.0053,0.3516,0.8668,12.6887,12.8704
dann,4,early_stopping,0.2874,0.1585,0.1659,0.0904,0.194,0.1355,0.2158,0.1281,0.1659,0.0904,0.1023,0.0756,-0.4864,0.1135,1.0,12712.4629,64565.9023
cdan,2,early_stopping,0.9431,0.9346,0.8537,0.8474,0.8977,0.8995,0.8981,0.8938,0.8537,0.8474,0.7081,0.6951,0.1194,0.1901,0.9959,57.6256,45.6535
