epoch,step,progress,cls_loss,mmd,feat_norm,loss
1,10,0.00148,1.486717,0.504137,17.952194,1.537131
1,20,0.00312,0.810773,0.451558,38.007015,0.855929
1,30,0.00476,0.747937,0.470833,40.874165,0.79502
1,40,0.0064,0.73333,0.305524,45.26347,0.763882
1,50,0.00805,0.474804,0.363787,43.272606,0.511183
1,60,0.00969,0.551071,0.258825,40.601585,0.576954
1,70,0.01133,0.272179,0.307152,47.112225,0.302894
1,80,0.01297,0.22131,0.307547,46.367226,0.252065
1,90,0.01461,0.376028,0.270777,38.792156,0.403106
1,100,0.01626,0.141169,0.289177,37.974976,0.170087
1,110,0.0179,0.40474,0.302204,43.784466,0.43496
1,120,0.01954,0.13793,0.310299,37.889812,0.16896
1,130,0.02118,0.262188,0.260316,39.459679,0.28822
1,140,0.02282,0.252752,0.325957,39.418877,0.285348
1,150,0.02447,0.263894,0.234294,48.144859,0.287323
1,160,0.02611,0.274766,0.287051,46.927338,0.303471
1,170,0.02775,0.27657,0.206523,44.462494,0.297223
1,180,0.02939,0.463228,0.217019,35.09676,0.48493
1,190,0.03103,0.073262,0.311894,46.057812,0.104451
1,200,0.03268,0.075312,0.219993,33.58342,0.097311
2,210,0.03432,0.139806,0.254548,43.750698,0.165261
2,220,0.03596,0.274253,0.207811,50.244812,0.295034
2,230,0.0376,0.140938,0.246146,40.232674,0.165553
2,240,0.03924,0.170714,0.231991,37.95504,0.193913
2,250,0.04089,0.323372,0.253815,40.294373,0.348754
2,260,0.04253,0.248778,0.281844,43.100014,0.276962
2,270,0.04417,0.256011,0.186901,47.299248,0.274701
2,280,0.04581,0.095624,0.270441,37.760307,0.122668
2,290,0.04745,0.253227,0.235098,41.680115,0.276737
2,300,0.0491,0.064476,0.209944,43.741081,0.08547
2,310,0.05074,0.027955,0.248686,48.499107,0.052824
2,320,0.05238,0.021601,0.208114,46.871918,0.042412
2,330,0.05402,0.253634,0.247237,49.650749,0.278357
2,340,0.05567,0.091678,0.243953,47.378201,0.116073
2,350,0.05731,0.269886,0.272758,43.338848,0.297162
2,360,0.05895,0.145501,0.194145,46.83638,0.164915
2,370,0.06059,0.08033,0.184724,44.043152,0.098802
2,380,0.06223,0.26725,0.238417,54.50967,0.291092
2,390,0.06388,0.088337,0.325656,49.943264,0.120903
2,400,0.06552,0.100961,0.179998,42.153343,0.118961
3,410,0.06716,0.107778,0.267558,33.069183,0.134534
3,420,0.0688,0.190073,0.154431,35.201214,0.205516
3,430,0.07044,0.119936,0.182824,43.65284,0.138218
3,440,0.07209,0.069907,0.253086,51.477577,0.095215
3,450,0.07373,0.239747,0.212829,45.988186,0.26103
3,460,0.07537,0.091857,0.207746,40.737705,0.112631
3,470,0.07701,0.169919,0.243435,43.687149,0.194262
3,480,0.07865,0.184286,0.284536,42.48632,0.21274
3,490,0.0803,0.049266,0.248537,46.11673,0.07412
3,500,0.08194,0.071633,0.328789,48.668449,0.104512
3,510,0.08358,0.194842,0.136518,46.513573,0.208493
3,520,0.08522,0.085076,0.20082,50.379097,0.105158
3,530,0.08686,0.116017,0.138574,42.904556,0.129875
3,540,0.08851,0.069094,0.279447,42.801277,0.097039
3,550,0.09015,0.110476,0.249069,53.030071,0.135383
3,560,0.09179,0.128886,0.336812,50.636185,0.162567
3,570,0.09343,0.181007,0.21977,54.182587,0.202984
3,580,0.09507,0.263928,0.20825,46.62262,0.284753
3,590,0.09672,0.105742,0.207294,39.095409,0.126472
3,600,0.09836,0.120942,0.292763,47.551544,0.150219
4,610,0.1,0.06548,0.296851,61.177349,0.095165
4,620,0.10164,0.015892,0.276334,50.401299,0.043525
4,630,0.10328,0.120171,0.226789,47.382214,0.14285
4,640,0.10493,0.112027,0.21749,50.551403,0.133776
4,650,0.10657,0.083906,0.175841,44.600399,0.10149
4,660,0.10821,0.070331,0.212667,38.693432,0.091598
4,670,0.10985,0.011105,0.19557,45.727215,0.030662
