epoch,step,train_cls_loss,train_mmd,train_feat_norm,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,0.521914,0.318865,40.494123,0.5538,0.883234,0.859414,0.834146,0.838533,0.857143,0.872691,0.858174,0.856879,0.834146,0.838533,1,53.7
2,406,0.212902,0.230074,44.810838,0.235909,0.928144,0.915028,0.836585,0.831135,0.89339,0.899379,0.88604,0.881847,0.836585,0.831135,1,50.8
3,609,0.16794,0.216334,46.139755,0.189574,0.964072,0.958116,0.917073,0.917569,0.957356,0.960276,0.946167,0.94532,0.917073,0.917569,1,56.0
4,812,0.139196,0.213739,46.085862,0.16057,0.949102,0.941278,0.860976,0.862295,0.91258,0.921136,0.907552,0.908236,0.860976,0.862295,0,56.3
5,1015,0.094827,0.202985,48.329593,0.115125,0.952096,0.948809,0.895122,0.894978,0.918977,0.921227,0.922065,0.921671,0.895122,0.894978,0,53.8
6,1218,0.07821,0.194081,51.198207,0.097618,0.97006,0.964442,0.912195,0.910616,0.93177,0.932246,0.938008,0.935768,0.912195,0.910616,0,55.4
7,1421,0.077766,0.199149,51.366241,0.097681,0.952096,0.946485,0.868293,0.859569,0.936034,0.939445,0.918808,0.915166,0.868293,0.859569,0,55.1
8,1624,0.052487,0.193232,54.728,0.07181,0.949102,0.940601,0.880488,0.880053,0.923241,0.93142,0.91761,0.917358,0.880488,0.880053,0,53.7
