epoch,step,train_cls_loss,train_mmd,train_feat_norm,train_mmd_PA,train_mmd_PC,train_mmd_AC,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,1.498581,0.531038,49.723633,0.524296,0.52539,0.543427,6.808958,0.577844,0.492152,0.32439,0.248718,0.462687,0.447472,0.454974,0.396114,0.32439,0.248718,1,30.4
2,406,1.500992,0.472708,98.77794,0.468066,0.475727,0.47433,6.228068,0.44012,0.319032,0.256098,0.178241,0.366738,0.360672,0.354318,0.285981,0.256098,0.178241,0,29.2
3,609,1.893132,0.487812,69.999693,0.473761,0.493449,0.496224,6.771248,0.221557,0.078936,0.178049,0.059682,0.187633,0.093908,0.195746,0.077509,0.178049,0.059682,0,33.1
4,812,2.093006,0.488609,95.239259,0.475394,0.515783,0.474649,6.979092,0.260479,0.066302,0.217073,0.055402,0.172708,0.042078,0.216753,0.054594,0.172708,0.042078,0,32.1
5,1015,2.088064,0.489037,187.320925,0.465937,0.503111,0.498061,6.97843,0.281437,0.105253,0.153659,0.059369,0.179104,0.067902,0.204733,0.077508,0.153659,0.059369,0,32.2
6,1218,1.949478,0.443352,262.40839,0.415288,0.455585,0.459184,6.383,0.10479,0.027174,0.139024,0.034873,0.147122,0.036644,0.130312,0.032897,0.10479,0.027174,0,32.3
