epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
5,820,0.13448,0.062786,0.634522,0.645833,0.586565,67.467369,0.697308
5,830,0.13612,0.272629,0.667704,0.625,0.591925,57.230816,0.940333
5,840,0.13777,0.188726,0.715504,0.583333,0.597233,49.575668,0.90423
5,850,0.13941,0.029532,0.645756,0.645833,0.602488,61.615158,0.675288
5,860,0.14105,0.174253,0.711251,0.395833,0.607692,69.907585,0.885503
5,870,0.14269,0.033355,0.694864,0.5,0.612845,66.786255,0.728218
5,880,0.14433,0.281427,0.718646,0.333333,0.617946,80.64473,1.000073
5,890,0.14598,0.099825,0.672062,0.5625,0.622995,57.112541,0.771887
5,900,0.14762,0.135669,0.672595,0.5625,0.627993,59.610424,0.808264
5,910,0.14926,0.128344,0.843536,0.333333,0.63294,72.381073,0.97188
5,920,0.1509,0.398821,0.872115,0.208333,0.637835,49.069489,1.270936
5,930,0.15255,0.365209,0.843444,0.25,0.64268,64.604836,1.208653
5,940,0.15419,0.065961,0.717867,0.4375,0.647473,51.932915,0.783828
5,950,0.15583,0.022051,0.710424,0.395833,0.652216,77.955597,0.732474
5,960,0.15747,0.078782,0.653748,0.583333,0.656909,84.962723,0.732531
5,970,0.15911,0.035811,0.625225,0.6875,0.661551,99.663742,0.661035
5,980,0.16076,0.169058,0.573646,0.770833,0.666143,96.687805,0.742704
5,990,0.1624,0.064189,0.555946,0.770833,0.670685,64.745346,0.620135
5,1000,0.16404,0.051794,0.713759,0.5,0.675177,65.546921,0.765554
5,1010,0.16568,0.432972,0.6871,0.541667,0.67962,60.963547,1.120073
6,1020,0.16732,0.073257,0.711345,0.458333,0.684013,57.092083,0.784602
6,1030,0.16897,0.141903,0.707391,0.583333,0.688358,48.933605,0.849294
6,1040,0.17061,0.0957,0.691565,0.583333,0.692653,55.395317,0.787264
6,1050,0.17225,0.068301,0.678701,0.604167,0.6969,57.425201,0.747002
6,1060,0.17389,0.047398,0.736952,0.520833,0.701099,61.907188,0.78435
6,1070,0.17553,0.016395,0.675688,0.583333,0.705249,64.374321,0.692084
6,1080,0.17718,0.087018,0.708357,0.604167,0.709352,62.837395,0.795376
6,1090,0.17882,0.018168,0.6737,0.645833,0.713407,65.130554,0.691867
6,1100,0.18046,0.135352,0.673791,0.645833,0.717415,61.358795,0.809144
