epoch,step,progress,cls_loss,mmd,feat_norm,mmd_PA,mmd_PC,mmd_AC,loss
4,720,0.11806,0.084092,0.328616,76.474747,0.43014,0.269398,0.286311,0.412709
4,730,0.1197,0.068915,0.184892,73.382561,0.189571,0.140583,0.224523,0.253807
4,740,0.12135,0.23696,0.363659,84.816971,0.209179,0.436923,0.444876,0.60062
4,750,0.12299,0.082283,0.354376,72.1884,0.36609,0.36789,0.329148,0.436659
4,760,0.12463,0.482104,0.406098,70.570938,0.373831,0.252269,0.592194,0.888202
4,770,0.12627,0.183899,0.613699,58.639812,0.524799,0.669708,0.646589,0.797598
4,780,0.12791,0.031618,0.242989,75.877426,0.201047,0.182086,0.345834,0.274607
4,790,0.12956,0.229294,0.289821,83.218948,0.39053,0.161433,0.317501,0.519115
4,800,0.1312,0.013022,0.219728,88.800949,0.155227,0.175272,0.328684,0.232749
4,810,0.13284,0.012342,0.2525,78.554688,0.346405,0.245018,0.166077,0.264842
5,820,0.13448,0.093407,0.205067,98.787399,0.180868,0.161093,0.27324,0.298474
5,830,0.13612,0.068097,0.41884,88.455307,0.370173,0.537046,0.349301,0.486937
5,840,0.13777,0.143449,0.332537,62.928185,0.360587,0.302967,0.334057,0.475986
5,850,0.13941,0.040635,0.329457,93.349792,0.34441,0.180655,0.463305,0.370092
5,860,0.14105,0.148163,0.274818,111.055412,0.28397,0.198817,0.341667,0.422981
5,870,0.14269,0.138091,0.228986,81.940796,0.181572,0.258409,0.246978,0.367078
5,880,0.14433,0.246102,0.461804,75.183716,0.549047,0.567595,0.268769,0.707906
5,890,0.14598,0.303289,0.5133,85.27919,0.380589,0.562643,0.596669,0.816589
5,900,0.14762,0.007546,0.737085,75.090385,0.264812,0.996809,0.949635,0.744631
5,910,0.14926,0.047498,0.34442,86.028893,0.393526,0.189286,0.450447,0.391918
5,920,0.1509,0.066508,0.328221,67.903465,0.280269,0.351835,0.35256,0.394729
5,930,0.15255,0.054609,0.495338,87.428467,0.337541,0.431947,0.716526,0.549947
5,940,0.15419,0.031427,0.44875,83.547714,0.458763,0.504847,0.382642,0.480178
5,950,0.15583,0.022823,0.661453,85.793846,0.618143,0.980853,0.385362,0.684276
5,960,0.15747,0.175018,0.731519,90.657257,0.875307,0.912274,0.406976,0.906537
5,970,0.15911,0.154147,0.310387,92.180504,0.377816,0.329358,0.223988,0.464535
5,980,0.16076,0.079776,0.289972,68.245628,0.257427,0.244075,0.368414,0.369748
5,990,0.1624,0.073032,0.290516,84.526031,0.422719,0.185252,0.263575,0.363548
5,1000,0.16404,0.03513,0.4871,99.795898,0.594759,0.43363,0.432911,0.52223
5,1010,0.16568,0.119811,0.227859,92.531761,0.24997,0.208091,0.225515,0.34767
6,1020,0.16732,0.01455,0.607215,112.119827,0.768066,0.81575,0.237828,0.621764
6,1030,0.16897,0.031837,0.236209,93.493561,0.216353,0.184069,0.308203,0.268045
6,1040,0.17061,0.020428,0.202706,102.581223,0.179734,0.234981,0.193404,0.223135
6,1050,0.17225,0.021654,0.306474,112.977509,0.37834,0.260205,0.280876,0.328127
6,1060,0.17389,0.011828,0.455179,112.370995,0.55212,0.399621,0.413795,0.467007
6,1070,0.17553,0.161847,0.183557,107.263947,0.154709,0.135177,0.260785,0.345404
6,1080,0.17718,0.031539,0.251127,107.056931,0.202466,0.322532,0.228381,0.282665
6,1090,0.17882,0.005014,0.373425,92.148056,0.300884,0.35951,0.459882,0.378439
6,1100,0.18046,0.079552,0.278859,107.912987,0.314156,0.318554,0.203868,0.358411
6,1110,0.1821,0.209918,0.381725,126.540405,0.425906,0.420846,0.298421,0.591643
6,1120,0.18374,0.214429,0.387502,101.189987,0.262119,0.4631,0.437288,0.601931
6,1130,0.18539,0.059853,0.658671,98.821808,0.469377,0.451396,1.055239,0.718523
6,1140,0.18703,0.120259,0.745728,97.769432,0.999042,0.987781,0.25036,0.865987
6,1150,0.18867,0.189409,0.240123,106.502983,0.303833,0.22742,0.189115,0.429532
6,1160,0.19031,0.067644,0.421724,118.002502,0.255376,0.368474,0.641323,0.489368
6,1170,0.19195,0.14008,0.289154,97.499817,0.384641,0.352044,0.130776,0.429233
6,1180,0.1936,0.037758,0.348388,86.833389,0.232523,0.401054,0.411586,0.386145
6,1190,0.19524,0.034471,0.262391,104.829308,0.111567,0.292407,0.3832,0.296862
6,1200,0.19688,0.177,0.524949,118.164642,0.522695,0.171759,0.880394,0.70195
6,1210,0.19852,0.01212,0.379065,132.771179,0.683439,0.234097,0.219658,0.391184
7,1220,0.20016,0.054041,0.282524,89.348228,0.295616,0.246152,0.305805,0.336566
7,1230,0.20181,0.120591,0.368781,76.06633,0.289448,0.351907,0.464989,0.489373
7,1240,0.20345,0.065665,0.211822,104.143639,0.127237,0.326464,0.181764,0.277487
7,1250,0.20509,0.167778,0.376419,100.845001,0.254013,0.378199,0.497046,0.544197
7,1260,0.20673,0.103472,0.741212,126.150665,0.709541,0.778548,0.735546,0.844684
7,1270,0.20837,0.046862,0.347649,121.273376,0.27077,0.54671,0.225468,0.394511
7,1280,0.21002,0.105887,0.295266,111.300522,0.300659,0.298236,0.286905,0.401153
7,1290,0.21166,0.026699,0.155313,149.500916,0.193713,0.111381,0.160844,0.182012
7,1300,0.2133,0.008632,0.355242,129.686569,0.212902,0.555953,0.29687,0.363874
7,1310,0.21494,0.451035,0.406322,120.902176,0.161619,0.612664,0.444684,0.857357
7,1320,0.21658,0.24219,0.272569,77.216843,0.333934,0.307692,0.176082,0.514759
7,1330,0.21823,0.331786,0.583611,98.711266,0.31562,0.501384,0.933829,0.915398
7,1340,0.21987,0.01997,0.303279,126.162689,0.159057,0.295864,0.454915,0.323248
7,1350,0.22151,0.158282,0.411442,119.209923,0.496504,0.288709,0.449111,0.569724
7,1360,0.22315,0.075944,0.264655,148.360291,0.243697,0.380634,0.169633,0.340599
7,1370,0.22479,0.003984,0.190682,146.047119,0.138776,0.207915,0.225355,0.194667
7,1380,0.22644,0.015649,0.54002,115.083336,0.496888,0.73995,0.383222,0.555669
7,1390,0.22808,0.166754,0.232008,106.432396,0.234803,0.166175,0.295044,0.398761
7,1400,0.22972,0.138707,0.468905,95.374329,0.411812,0.463695,0.531209,0.607612
7,1410,0.23136,0.069903,0.31977,89.192139,0.381656,0.372736,0.204918,0.389673
7,1420,0.233,0.131483,0.324763,77.582474,0.478034,0.308012,0.188244,0.456246
8,1430,0.23465,0.324363,0.367046,71.564995,0.223842,0.501854,0.375442,0.691409
8,1440,0.23629,0.064928,0.279559,115.748047,0.161209,0.306705,0.370761,0.344487
8,1450,0.23793,0.024049,0.311476,155.094757,0.200842,0.483911,0.249677,0.335526
8,1460,0.23957,0.109113,0.262251,148.413116,0.257355,0.09962,0.429779,0.371364
8,1470,0.24122,0.02345,0.423405,115.025574,0.640974,0.259872,0.369369,0.446855
8,1480,0.24286,0.21827,0.359338,103.091942,0.311722,0.312778,0.453515,0.577608
8,1490,0.2445,0.112225,0.499475,77.966537,0.494164,0.183537,0.820725,0.6117
8,1500,0.24614,0.135845,0.605628,90.186874,0.640533,0.944774,0.231576,0.741473
8,1510,0.24778,0.037809,0.526292,142.07634,0.764762,0.544401,0.269713,0.564101
8,1520,0.24943,0.065835,0.449152,124.93132,0.15725,0.620363,0.569842,0.514987
8,1530,0.25107,0.058785,0.725804,149.23999,0.983267,0.121814,1.07233,0.784589
8,1540,0.25271,0.003446,0.308757,124.300369,0.45997,0.38165,0.084653,0.312204
8,1550,0.25435,0.027237,0.320928,125.530319,0.265679,0.424407,0.272699,0.348166
8,1560,0.25599,0.001101,0.469073,135.90686,0.539742,0.422436,0.445041,0.470175
8,1570,0.25764,0.280466,0.275983,126.013535,0.267209,0.114367,0.446373,0.556449
8,1580,0.25928,0.293377,0.197209,124.744003,0.285264,0.16299,0.143373,0.490585
8,1590,0.26092,0.206988,0.185241,88.055046,0.155388,0.228637,0.171699,0.392229
8,1600,0.26256,0.082791,0.172578,95.740189,0.128236,0.166554,0.222945,0.25537
8,1610,0.2642,0.070185,0.25171,94.565491,0.291182,0.250535,0.213413,0.321896
8,1620,0.26585,0.308169,0.256534,122.527161,0.387562,0.142394,0.239647,0.564703
