epoch,lr,train_loss,train_ce,train_acc,val_acc,val_loss,seconds,best
1,0.1,1.858133316040039,1.858133316040039,0.32357779145240784,0.4172,1.5517712646484374,30.1,1
2,0.09997532801828658,1.3570003509521484,1.3570003509521484,0.5046444535255432,0.5468,1.312305712890625,14.3,1
3,0.09990133642141358,1.058135747909546,1.058135747909546,0.6228222250938416,0.587,1.1572042724609375,17.2,1
4,0.099778098230154,0.8654658794403076,0.8654658794403076,0.696066677570343,0.6854,0.9023278198242187,17.3,1
5,0.0996057350657239,0.7319965958595276,0.7319965958595276,0.7432222366333008,0.6916,0.9100900268554688,17.5,1
6,0.09938441702975688,0.6427459120750427,0.6427459120750427,0.7769111394882202,0.7308,0.7732539428710937,16.8,1
7,0.09911436253643444,0.581038236618042,0.581038236618042,0.7997333407402039,0.7668,0.6590424560546875,17.3,1
8,0.09879583809693737,0.538404107093811,0.538404107093811,0.8142222166061401,0.7372,0.81934677734375,16.9,0
9,0.09842915805643156,0.5084105730056763,0.5084105730056763,0.8235111236572266,0.7964,0.6009853759765625,17.2,1
10,0.09801468428384716,0.48354971408843994,0.48354971408843994,0.8338888883590698,0.7534,0.7577365112304687,16.8,0
11,0.09755282581475769,0.46995478868484497,0.46995478868484497,0.8381333351135254,0.743,0.8451037475585937,16.8,0
12,0.09704403844771128,0.45411962270736694,0.45411962270736694,0.8443333506584167,0.7956,0.61992998046875,16.6,0
13,0.09648882429441258,0.448770135641098,0.448770135641098,0.8470888733863831,0.827,0.49506397705078126,16.6,1
14,0.09588773128419906,0.42999374866485596,0.42999374866485596,0.8521555662155151,0.8052,0.5730277465820313,16.4,0
15,0.09524135262330098,0.4179668426513672,0.4179668426513672,0.8556888699531555,0.7906,0.6345003173828125,16.7,0
16,0.0945503262094184,0.4085994064807892,0.4085994064807892,0.8588666915893555,0.7948,0.6080203002929687,16.8,0
17,0.09381533400219319,0.39609548449516296,0.39609548449516296,0.8637778162956238,0.8268,0.5109379577636719,16.4,0
18,0.0930371013501972,0.38752588629722595,0.38752588629722595,0.8681777715682983,0.8442,0.4698874755859375,16.6,1
19,0.09221639627510078,0.3804515302181244,0.3804515302181244,0.8697777986526489,0.828,0.5167193786621094,17.0,0
20,0.09135402871372812,0.36910420656204224,0.36910420656204224,0.8743333220481873,0.8664,0.39584568481445315,16.7,1
21,0.09045084971874741,0.3556000590324402,0.3556000590324402,0.8777111172676086,0.8294,0.519541943359375,16.7,0
22,0.08950775061878455,0.3595264256000519,0.3595264256000519,0.8760889172554016,0.8492,0.4556084899902344,17.2,0
23,0.0885256621387895,0.34648439288139343,0.34648439288139343,0.8815777897834778,0.8442,0.4819347717285156,16.8,0
24,0.08750555348152302,0.34555625915527344,0.34555625915527344,0.8795999884605408,0.816,0.5564931640625,16.6,0
25,0.08644843137107061,0.3397951126098633,0.3397951126098633,0.8838889002799988,0.8492,0.4794227661132813,16.5,0
26,0.0853553390593274,0.3364339768886566,0.3364339768886566,0.8858444690704346,0.7942,0.65861357421875,16.5,0
27,0.08422735529643446,0.32808157801628113,0.32808157801628113,0.8878000378608704,0.7772,0.6883920288085937,16.5,0
28,0.08306559326618262,0.31993257999420166,0.31993257999420166,0.8896444439888,0.8686,0.39708567504882814,17.1,1
29,0.08187119948743452,0.32215237617492676,0.32215237617492676,0.8900222182273865,0.8072,0.5799861450195313,15.8,0
30,0.08064535268264886,0.303882896900177,0.303882896900177,0.8955555558204651,0.8588,0.44445553588867187,15.9,0
31,0.0793892626146237,0.3069193959236145,0.3069193959236145,0.8947333693504333,0.8582,0.44427099609375,16.2,0
32,0.07810416889260657,0.30241307616233826,0.30241307616233826,0.8971111178398132,0.857,0.43340885620117187,16.5,0
33,0.07679133974894986,0.2943456172943115,0.2943456172943115,0.8988222479820251,0.8452,0.4668515380859375,16.3,0
34,0.0754520707875186,0.2925611734390259,0.2925611734390259,0.8978666663169861,0.8428,0.47394976806640626,16.7,0
35,0.0740876837050858,0.29149702191352844,0.29149702191352844,0.9010888934135437,0.8678,0.4028018005371094,17.0,0
36,0.07269952498697738,0.28171759843826294,0.28171759843826294,0.9042222499847412,0.8796,0.3720705200195312,17.3,1
37,0.07128896457825366,0.2812246084213257,0.2812246084213257,0.9062889218330383,0.8712,0.3860534729003906,16.6,0
38,0.06985739453173906,0.268865704536438,0.268865704536438,0.9071111083030701,0.8864,0.33109473266601563,16.9,1
39,0.06840622763423394,0.2673570513725281,0.2673570513725281,0.9080666899681091,0.8832,0.3524931579589844,17.4,0
40,0.06693689601226462,0.26006513833999634,0.26006513833999634,0.9110888838768005,0.879,0.3688293640136719,16.7,0
41,0.06545084971874741,0.2569046914577484,0.2569046914577484,0.9107555747032166,0.8814,0.36569174194335935,16.9,0
42,0.06394955530196152,0.251939058303833,0.251939058303833,0.9121778011322021,0.8682,0.3955537536621094,16.4,0
43,0.062434494358242776,0.25048115849494934,0.25048115849494934,0.9124000072479248,0.885,0.353487744140625,16.6,0
44,0.06090716206982718,0.23813630640506744,0.23813630640506744,0.9194000363349915,0.8814,0.37223286743164063,16.2,0
45,0.05936906572928628,0.23635883629322052,0.23635883629322052,0.919533371925354,0.8868,0.35424239501953125,16.2,1
46,0.05782172325201159,0.23094937205314636,0.23094937205314636,0.9220222234725952,0.8616,0.404589208984375,15.7,0
47,0.056266661678215264,0.22565507888793945,0.22565507888793945,0.9232666492462158,0.8882,0.34634774780273436,16.2,1
48,0.05470541566592575,0.21710649132728577,0.21710649132728577,0.9246888756752014,0.859,0.44819046630859377,16.2,0
49,0.053139525976465714,0.21026155352592468,0.21026155352592468,0.9276666641235352,0.8798,0.36950345458984374,16.2,0
50,0.05157053795390645,0.20934468507766724,0.20934468507766724,0.9282222390174866,0.8892,0.36042889404296874,16.0,1
51,0.05000000000000004,0.1971292495727539,0.1971292495727539,0.9314666986465454,0.8836,0.3751624267578125,16.0,0
52,0.04842946204609362,0.18856599926948547,0.18856599926948547,0.935355544090271,0.8974,0.32513681640625,16.0,1
53,0.04686047402353437,0.1880747675895691,0.1880747675895691,0.9347333312034607,0.8924,0.3269208740234375,16.8,0
54,0.045294584334074316,0.17922455072402954,0.17922455072402954,0.9379110932350159,0.9008,0.33981875,16.1,1
55,0.043733338321784825,0.1810045838356018,0.1810045838356018,0.9376888871192932,0.8912,0.33577227783203123,16.2,0
56,0.042178276747988484,0.174276202917099,0.174276202917099,0.9406889081001282,0.8902,0.34373566284179685,16.6,0
57,0.0406309342707138,0.1668415069580078,0.1668415069580078,0.9438000321388245,0.9018,0.3002777648925781,16.5,1
58,0.039092837930172916,0.15867096185684204,0.15867096185684204,0.9466888904571533,0.8896,0.34158109130859377,16.8,0
59,0.037565505641757285,0.1507076472043991,0.1507076472043991,0.9489555954933167,0.8956,0.33084683837890627,16.2,0
60,0.03605044469803857,0.14340496063232422,0.14340496063232422,0.9507111310958862,0.8908,0.3636629272460937,16.7,0
61,0.034549150281252675,0.13975593447685242,0.13975593447685242,0.9521333575248718,0.8884,0.35283606567382814,15.9,0
62,0.03306310398773546,0.135757178068161,0.135757178068161,0.9533555507659912,0.9012,0.3167710510253906,16.6,0
63,0.031593772365766146,0.12663500010967255,0.12663500010967255,0.9566888809204102,0.8998,0.32126688232421874,16.1,0
64,0.030142605468260992,0.11427728831768036,0.11427728831768036,0.9608666896820068,0.901,0.3184995849609375,16.5,0
65,0.028711035421746394,0.1134817972779274,0.1134817972779274,0.9616222381591797,0.9288,0.2383967041015625,16.6,1
66,0.027300475013022688,0.10095041245222092,0.10095041245222092,0.96551114320755,0.9066,0.2901871765136719,16.5,0
67,0.025912316294914254,0.1018332913517952,0.1018332913517952,0.9652222394943237,0.9232,0.2532592254638672,16.2,0
68,0.02454792921248146,0.08944676071405411,0.08944676071405411,0.9700666666030884,0.9086,0.297053466796875,16.4,0
69,0.02320866025105018,0.08365456014871597,0.08365456014871597,0.9717110991477966,0.9206,0.26351888732910156,16.5,0
70,0.021895831107393487,0.07416030019521713,0.07416030019521713,0.9754000306129456,0.9178,0.2796445343017578,16.3,0
71,0.02061073738537637,0.0767163336277008,0.0767163336277008,0.9744444489479065,0.9264,0.24165625915527345,16.2,0
72,0.01935464731735119,0.06632498651742935,0.06632498651742935,0.9779778122901917,0.9126,0.2979163787841797,16.8,0
73,0.018128800512565532,0.06207763031125069,0.06207763031125069,0.9792222380638123,0.9176,0.30210887451171875,16.2,0
