epoch,step,progress,cls_loss,sam_loss,sam_gap,grad_norm,loss
5,940,0.15419,0.059988,0.226429,0.166441,1.884682,0.059988
5,950,0.15583,0.026226,0.111528,0.085301,0.977735,0.026226
5,960,0.15747,0.075487,0.225072,0.149585,2.521273,0.075487
5,970,0.15911,0.175697,0.368977,0.19328,3.585844,0.175697
5,980,0.16076,0.144962,0.322068,0.177106,3.13946,0.144962
5,990,0.1624,0.075,0.231062,0.156061,2.310426,0.075
5,1000,0.16404,0.053687,0.260403,0.206716,2.239215,0.053687
5,1010,0.16568,0.10476,0.315534,0.210774,3.060012,0.10476
6,1020,0.16732,0.114073,0.287044,0.17297,2.456392,0.114073
6,1030,0.16897,0.021495,0.202112,0.180617,1.386354,0.021495
6,1040,0.17061,0.043874,0.220484,0.17661,1.777611,0.043874
6,1050,0.17225,0.052551,0.166724,0.114173,1.993641,0.052551
6,1060,0.17389,0.076064,0.195918,0.119854,1.891424,0.076064
6,1070,0.17553,0.066617,0.184747,0.11813,1.613497,0.066617
6,1080,0.17718,0.053363,0.186281,0.132918,1.925468,0.053363
6,1090,0.17882,0.055278,0.170834,0.115556,1.59012,0.055278
6,1100,0.18046,0.06684,0.234263,0.167424,1.927117,0.06684
6,1110,0.1821,0.114625,0.288621,0.173996,2.654182,0.114625
6,1120,0.18374,0.196471,0.39427,0.197799,3.312696,0.196471
6,1130,0.18539,0.075538,0.213287,0.137749,2.240409,0.075538
6,1140,0.18703,0.184701,0.386173,0.201471,3.612257,0.184701
6,1150,0.18867,0.056422,0.145678,0.089256,2.139851,0.056422
6,1160,0.19031,0.123806,0.262164,0.138358,2.753368,0.123806
6,1170,0.19195,0.070383,0.205344,0.134961,2.391285,0.070383
6,1180,0.1936,0.101175,0.25715,0.155975,2.734082,0.101175
6,1190,0.19524,0.035361,0.165027,0.129666,1.58635,0.035361
6,1200,0.19688,0.067995,0.276702,0.208708,2.141519,0.067995
6,1210,0.19852,0.014781,0.080853,0.066072,0.676364,0.014781
7,1220,0.20016,0.08038,0.366572,0.286191,3.793403,0.08038
7,1230,0.20181,0.123713,0.359517,0.235805,3.622352,0.123713
7,1240,0.20345,0.043742,0.143924,0.100182,1.417048,0.043742
7,1250,0.20509,0.14832,0.373877,0.225557,3.609539,0.14832
7,1260,0.20673,0.03195,0.115696,0.083746,0.892309,0.03195
7,1270,0.20837,0.009133,0.056612,0.047479,0.390841,0.009133
7,1280,0.21002,0.039675,0.141379,0.101703,1.235452,0.039675
7,1290,0.21166,0.007877,0.124436,0.11656,0.44936,0.007877
7,1300,0.2133,0.01883,0.105282,0.086452,0.801413,0.01883
7,1310,0.21494,0.184665,0.397369,0.212704,4.188917,0.184665
7,1320,0.21658,0.069394,0.204758,0.135363,1.868823,0.069394
7,1330,0.21823,0.017993,0.0936,0.075607,0.8011,0.017993
7,1340,0.21987,0.080517,0.295372,0.214856,3.692399,0.080517
7,1350,0.22151,0.113015,0.253775,0.14076,2.777972,0.113015
7,1360,0.22315,0.007436,0.073075,0.065639,0.519145,0.007436
7,1370,0.22479,0.021981,0.126593,0.104612,1.255532,0.021981
7,1380,0.22644,0.02767,0.178596,0.150927,1.778993,0.02767
7,1390,0.22808,0.068034,0.180378,0.112344,1.681074,0.068034
7,1400,0.22972,0.03155,0.187318,0.155768,1.192518,0.03155
7,1410,0.23136,0.04935,0.12684,0.07749,1.261325,0.04935
7,1420,0.233,0.13985,0.285292,0.145442,2.92784,0.13985
8,1430,0.23465,0.138794,0.390306,0.251512,3.880093,0.138794
8,1440,0.23629,0.025673,0.223339,0.197666,1.581689,0.025673
8,1450,0.23793,0.010715,0.117652,0.106937,0.558544,0.010715
8,1460,0.23957,0.076718,0.186281,0.109563,1.892455,0.076718
8,1470,0.24122,0.070003,0.269406,0.199403,2.820508,0.070003
8,1480,0.24286,0.026334,0.177169,0.150834,1.407909,0.026334
8,1490,0.2445,0.010147,0.044279,0.034133,0.338805,0.010147
