epoch,train_loss,train_acc,val_loss,val_acc
1,0.6736986410617828,0.9767500758171082,0.20727413892745972,0.9730000495910645
2,0.13735501074790954,0.9855000376701355,0.13092902302742004,0.9750000238418579
3,0.08544017320871353,0.9920000433921814,0.10485769808292389,0.9760000705718994
4,0.06049740043282509,0.9932500720024109,0.09383877366781235,0.9760000705718994
5,0.04558488300442696,0.9962500333786011,0.0862564891576767,0.9760000705718994
6,0.03558016057312489,0.9982500672340393,0.08128401637077332,0.9780000448226929
7,0.028366524681448936,0.999000072479248,0.07855024933815002,0.9780000448226929
8,0.023327237874269484,0.999500036239624,0.07704473286867142,0.9790000319480896
9,0.019421632654964924,0.999750018119812,0.07489249855279922,0.9800000190734863
10,0.016586240261793138,0.999750018119812,0.07430678606033325,0.9780000448226929
11,0.014382048763334751,1.0,0.07298266887664795,0.9790000319480896
12,0.012527722984552384,1.0,0.0723349079489708,0.9800000190734863
13,0.010976364154368638,1.0,0.07201216369867325,0.9780000448226929
14,0.009743267461657525,1.0,0.07117175310850143,0.9780000448226929
