epoch,train_loss,train_acc,val_loss,val_acc
1,2.15441251373291,0.971000075340271,2.005305767059326,0.9780000448226929
2,1.8730054941177368,0.9750000238418579,1.7404817342758179,0.984000027179718
3,1.621467656135559,0.9767500758171082,1.505497694015503,0.9850000739097595
4,1.400159499168396,0.9777500629425049,1.300295114517212,0.9860000610351562
5,1.2080088701248168,0.9777500629425049,1.1237441301345825,0.987000048160553
6,1.0443388795852662,0.9795000553131104,0.9739246964454651,0.9860000610351562
7,0.906155442237854,0.9795000553131104,0.8478664755821228,0.9860000610351562
8,0.790645514011383,0.9797500371932983,0.7426493763923645,0.9850000739097595
9,0.6943471431732178,0.9795000553131104,0.6546950340270996,0.9860000610351562
10,0.6139709129333496,0.9797500371932983,0.5811605453491211,0.9860000610351562
