epoch,train_loss,train_acc,val_loss,val_acc
1,1.1051014628410338,0.9745000600814819,0.48809167742729187,0.9580000638961792
2,0.31005948972702024,0.98375004529953,0.24807485938072205,0.968000054359436
3,0.1713858814239502,0.9877500534057617,0.17529338598251343,0.9720000624656677
4,0.1175944350361824,0.9890000224113464,0.14288470149040222,0.971000075340271
5,0.08808782851696015,0.9927500486373901,0.12432301044464111,0.9720000624656677
6,0.06987025618553161,0.9947500228881836,0.11125127971172333,0.9730000495910645
7,0.05695937615633011,0.9957500696182251,0.10496507585048676,0.9740000367164612
8,0.04759642526507377,0.9967500567436218,0.09778927266597748,0.9740000367164612
9,0.04044499626755715,0.9977500438690186,0.09430044144392014,0.9730000495910645
10,0.03509197852015495,0.9977500438690186,0.09063190966844559,0.9720000624656677
11,0.0304595285654068,0.9985000491142273,0.08776947110891342,0.9740000367164612
12,0.026880307003855707,0.9985000491142273,0.08591237664222717,0.9730000495910645
