epoch,step,progress,cls_loss,loss
5,950,0.15583,0.009719,0.009719
5,960,0.15747,0.111864,0.111864
5,970,0.15911,0.105527,0.105527
5,980,0.16076,0.08948,0.08948
5,990,0.1624,0.060828,0.060828
5,1000,0.16404,0.044337,0.044337
5,1010,0.16568,0.07141,0.07141
6,1020,0.16732,0.035519,0.035519
6,1030,0.16897,0.004922,0.004922
6,1040,0.17061,0.148015,0.148015
6,1050,0.17225,0.095004,0.095004
6,1060,0.17389,0.075409,0.075409
6,1070,0.17553,0.052202,0.052202
6,1080,0.17718,0.006718,0.006718
6,1090,0.17882,0.005976,0.005976
6,1100,0.18046,0.091673,0.091673
6,1110,0.1821,0.05532,0.05532
6,1120,0.18374,0.187367,0.187367
6,1130,0.18539,0.087213,0.087213
6,1140,0.18703,0.141508,0.141508
6,1150,0.18867,0.199185,0.199185
6,1160,0.19031,0.264472,0.264472
6,1170,0.19195,0.007766,0.007766
6,1180,0.1936,0.058901,0.058901
6,1190,0.19524,0.053039,0.053039
6,1200,0.19688,0.010463,0.010463
6,1210,0.19852,0.013078,0.013078
7,1220,0.20016,0.06551,0.06551
7,1230,0.20181,0.018952,0.018952
7,1240,0.20345,0.037875,0.037875
7,1250,0.20509,0.035057,0.035057
7,1260,0.20673,0.002162,0.002162
7,1270,0.20837,0.007886,0.007886
7,1280,0.21002,0.038981,0.038981
7,1290,0.21166,0.008911,0.008911
7,1300,0.2133,0.009162,0.009162
7,1310,0.21494,0.159877,0.159877
7,1320,0.21658,0.144182,0.144182
7,1330,0.21823,0.015961,0.015961
7,1340,0.21987,0.009359,0.009359
7,1350,0.22151,0.265774,0.265774
7,1360,0.22315,0.074403,0.074403
7,1370,0.22479,0.087262,0.087262
7,1380,0.22644,0.013682,0.013682
7,1390,0.22808,0.113771,0.113771
7,1400,0.22972,0.04475,0.04475
7,1410,0.23136,0.031181,0.031181
7,1420,0.233,0.185803,0.185803
8,1430,0.23465,0.513543,0.513543
8,1440,0.23629,0.04934,0.04934
8,1450,0.23793,0.256035,0.256035
8,1460,0.23957,0.120563,0.120563
8,1470,0.24122,0.031943,0.031943
8,1480,0.24286,0.051091,0.051091
8,1490,0.2445,0.014643,0.014643
8,1500,0.24614,0.357419,0.357419
8,1510,0.24778,0.017803,0.017803
8,1520,0.24943,0.045546,0.045546
8,1530,0.25107,0.173172,0.173172
8,1540,0.25271,0.147845,0.147845
8,1550,0.25435,0.045306,0.045306
8,1560,0.25599,0.017004,0.017004
8,1570,0.25764,0.155619,0.155619
8,1580,0.25928,0.119757,0.119757
8,1590,0.26092,0.028732,0.028732
8,1600,0.26256,0.015146,0.015146
8,1610,0.2642,0.008688,0.008688
8,1620,0.26585,0.32736,0.32736
9,1630,0.26749,0.301251,0.301251
9,1640,0.26913,0.025109,0.025109
9,1650,0.27077,0.021927,0.021927
9,1660,0.27241,0.038277,0.038277
9,1670,0.27406,0.030361,0.030361
9,1680,0.2757,0.002307,0.002307
9,1690,0.27734,0.148564,0.148564
9,1700,0.27898,0.066901,0.066901
9,1710,0.28062,0.044713,0.044713
9,1720,0.28227,0.000226,0.000226
9,1730,0.28391,0.00059,0.00059
9,1740,0.28555,0.015118,0.015118
9,1750,0.28719,0.012188,0.012188
9,1760,0.28883,0.009276,0.009276
9,1770,0.29048,0.045263,0.045263
9,1780,0.29212,0.039876,0.039876
9,1790,0.29376,0.017891,0.017891
9,1800,0.2954,0.022722,0.022722
9,1810,0.29704,0.008643,0.008643
9,1820,0.29869,0.174511,0.174511
