epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
5,820,0.13448,0.205426,0.688205,0.583333,0.586565,54.595222,0.893631
5,830,0.13612,0.423657,0.676537,0.708333,0.591925,49.802959,1.100194
5,840,0.13777,0.341697,0.691218,0.520833,0.597233,37.25798,1.032915
5,850,0.13941,0.020474,0.685183,0.5,0.602488,50.823895,0.705657
5,860,0.14105,0.060696,0.674449,0.666667,0.607692,56.028587,0.735145
5,870,0.14269,0.008876,0.686902,0.5625,0.612845,50.799408,0.695778
5,880,0.14433,0.163528,0.682272,0.604167,0.617946,46.748043,0.8458
5,890,0.14598,0.027725,0.673857,0.645833,0.622995,47.320465,0.701582
5,900,0.14762,0.04861,0.694433,0.4375,0.627993,45.93911,0.743042
5,910,0.14926,0.038345,0.694714,0.4375,0.63294,56.31031,0.733059
5,920,0.1509,0.102563,0.721202,0.291667,0.637835,56.737831,0.823764
5,930,0.15255,0.167047,0.720417,0.333333,0.64268,57.158306,0.887464
5,940,0.15419,0.123191,0.722472,0.25,0.647473,51.038261,0.845664
5,950,0.15583,0.06682,0.710754,0.354167,0.652216,61.245171,0.777573
5,960,0.15747,0.051454,0.677498,0.645833,0.656909,64.719681,0.728953
5,970,0.15911,0.089031,0.696859,0.520833,0.661551,51.490883,0.78589
5,980,0.16076,0.343526,0.698289,0.5,0.666143,40.822323,1.041816
5,990,0.1624,0.049511,0.694305,0.416667,0.670685,41.142181,0.743816
5,1000,0.16404,0.033952,0.68433,0.625,0.675177,44.192513,0.718283
5,1010,0.16568,0.060355,0.695767,0.416667,0.67962,46.902248,0.756122
6,1020,0.16732,0.070715,0.696104,0.479167,0.684013,49.701321,0.766819
6,1030,0.16897,0.002128,0.701335,0.395833,0.688358,58.074123,0.703464
6,1040,0.17061,0.100372,0.697073,0.416667,0.692653,57.457546,0.797444
6,1050,0.17225,0.122123,0.701614,0.4375,0.6969,47.978191,0.823738
6,1060,0.17389,0.107583,0.705422,0.458333,0.701099,47.164444,0.813005
6,1070,0.17553,0.064779,0.709601,0.375,0.705249,50.160839,0.77438
6,1080,0.17718,0.169232,0.711779,0.25,0.709352,58.59481,0.881011
6,1090,0.17882,0.066525,0.701987,0.354167,0.713407,51.665508,0.768512
6,1100,0.18046,0.026655,0.683515,0.583333,0.717415,56.498344,0.71017
6,1110,0.1821,0.057364,0.681034,0.604167,0.721376,45.466003,0.738399
6,1120,0.18374,0.244428,0.687227,0.604167,0.725291,43.07827,0.931656
6,1130,0.18539,0.029542,0.681843,0.625,0.729159,41.744209,0.711385
6,1140,0.18703,0.176362,0.681377,0.604167,0.732981,41.641594,0.857739
6,1150,0.18867,0.02061,0.687736,0.458333,0.736758,54.738266,0.708345
6,1160,0.19031,0.081747,0.687165,0.583333,0.740488,53.578426,0.768912
6,1170,0.19195,0.001101,0.706797,0.354167,0.744174,52.875011,0.707898
6,1180,0.1936,0.106391,0.717223,0.3125,0.747815,46.888283,0.823613
6,1190,0.19524,0.125313,0.711133,0.395833,0.751412,54.194328,0.836446
6,1200,0.19688,0.119635,0.724706,0.458333,0.754965,54.132072,0.844341
