epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,loss
5,940,0.15419,1.918744,0.687987,0.5625,0.647473,2.606731
5,950,0.15583,1.988705,0.705347,0.4375,0.652216,2.694053
5,960,0.15747,1.96259,0.689878,0.479167,0.656909,2.652468
5,970,0.15911,1.999472,0.69435,0.5,0.661551,2.693822
5,980,0.16076,1.894602,0.69667,0.416667,0.666143,2.591272
5,990,0.1624,1.949767,0.69184,0.5,0.670685,2.641607
5,1000,0.16404,1.998619,0.679089,0.5,0.675177,2.677708
5,1010,0.16568,1.943743,0.688413,0.541667,0.67962,2.632156
6,1020,0.16732,1.886498,0.693303,0.520833,0.684013,2.579802
6,1030,0.16897,1.917606,0.697166,0.479167,0.688358,2.614772
6,1040,0.17061,1.824223,0.686177,0.541667,0.692653,2.510401
6,1050,0.17225,1.809076,0.709568,0.458333,0.6969,2.518644
6,1060,0.17389,1.891878,0.692676,0.5625,0.701099,2.584554
6,1070,0.17553,1.893606,0.688527,0.541667,0.705249,2.582133
6,1080,0.17718,1.923839,0.69294,0.458333,0.709352,2.616779
6,1090,0.17882,1.960242,0.739346,0.229167,0.713407,2.699588
6,1100,0.18046,1.965141,0.760865,0.208333,0.717415,2.726006
6,1110,0.1821,1.920021,0.724612,0.395833,0.721376,2.644633
6,1120,0.18374,1.866979,0.638415,0.708333,0.725291,2.505394
6,1130,0.18539,1.847551,0.654227,0.604167,0.729159,2.501778
6,1140,0.18703,1.897357,0.720627,0.333333,0.732981,2.617984
6,1150,0.18867,2.068222,0.725275,0.416667,0.736758,2.793497
6,1160,0.19031,1.976112,0.768986,0.270833,0.740488,2.745098
6,1170,0.19195,1.782976,0.690283,0.5,0.744174,2.473259
6,1180,0.1936,1.86605,0.646198,0.5625,0.747815,2.512249
6,1190,0.19524,1.922838,0.674739,0.541667,0.751412,2.597578
6,1200,0.19688,2.071838,0.70235,0.458333,0.754965,2.774188
6,1210,0.19852,1.892108,0.694425,0.583333,0.758473,2.586533
7,1220,0.20016,1.935889,0.721763,0.375,0.761939,2.657652
7,1230,0.20181,1.957627,0.725305,0.541667,0.765361,2.682932
7,1240,0.20345,1.988979,0.710515,0.479167,0.768741,2.699494
7,1250,0.20509,1.782436,0.694771,0.5,0.772078,2.477207
7,1260,0.20673,1.824336,0.695746,0.520833,0.775373,2.520082
7,1270,0.20837,1.931751,0.708374,0.479167,0.778626,2.640125
7,1280,0.21002,1.672058,0.701585,0.5,0.781838,2.373643
7,1290,0.21166,1.681501,0.645656,0.729167,0.785009,2.327157
7,1300,0.2133,1.899382,0.684526,0.479167,0.78814,2.583908
7,1310,0.21494,1.787628,0.67973,0.583333,0.79123,2.467358
7,1320,0.21658,1.6985,0.862091,0.25,0.79428,2.560591
7,1330,0.21823,1.804698,2.356066,0.104167,0.797291,4.160764
7,1340,0.21987,32.450264,28.572973,0.416667,0.800263,61.023239
7,1350,0.22151,759.239807,315.930176,0.479167,0.803196,1075.169922
7,1360,0.22315,247.078781,375.838623,0.5,0.80609,622.917419
7,1370,0.22479,16.882856,2.979744,0.520833,0.808947,19.8626
7,1380,0.22644,1.989772,0.691249,0.604167,0.811765,2.681021
7,1390,0.22808,1.830107,0.688327,0.583333,0.814547,2.518434
7,1400,0.22972,1.951883,0.693806,0.479167,0.817291,2.645689
7,1410,0.23136,1.890374,0.706304,0.354167,0.819999,2.596678
7,1420,0.233,1.96193,0.694108,0.395833,0.822671,2.656039
