epoch,step,train_cls_loss,train_mmd,train_feat_norm,train_mmd_PA,train_mmd_PC,train_mmd_AC,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,0.53663,0.566057,46.615924,0.542001,0.595134,0.561035,0.593235,0.904192,0.879554,0.817073,0.799612,0.859275,0.864739,0.86018,0.847968,0.817073,0.799612,1,30.3
2,406,0.225791,0.505864,55.645975,0.495978,0.51672,0.504894,0.276378,0.961078,0.954766,0.880488,0.875628,0.925373,0.929046,0.922313,0.919813,0.880488,0.875628,1,29.5
3,609,0.150526,0.48417,60.71928,0.474431,0.492091,0.485988,0.198943,0.961078,0.95393,0.909756,0.90585,0.944563,0.948767,0.938466,0.936183,0.909756,0.90585,1,33.1
4,812,0.145112,0.477261,60.039632,0.463455,0.488233,0.480094,0.192838,0.934132,0.921947,0.865854,0.865765,0.889126,0.899253,0.89637,0.895655,0.865854,0.865765,0,33.2
5,1015,0.091642,0.476952,64.135847,0.4651,0.476834,0.488922,0.139337,0.937126,0.925039,0.863415,0.861215,0.916844,0.923944,0.905795,0.903399,0.863415,0.861215,0,33.4
6,1218,0.090155,0.470361,63.157276,0.474087,0.465134,0.471863,0.137192,0.961078,0.953679,0.873171,0.877878,0.948827,0.952846,0.927692,0.928134,0.873171,0.877878,0,31.9
7,1421,0.081019,0.470411,69.059012,0.463882,0.466708,0.480644,0.12806,0.934132,0.922712,0.84878,0.841373,0.925373,0.923655,0.902762,0.895914,0.84878,0.841373,0,32.0
8,1624,0.083377,0.465237,63.962137,0.455124,0.469392,0.471197,0.129901,0.949102,0.94063,0.885366,0.883111,0.938166,0.94174,0.924211,0.921827,0.885366,0.883111,0,31.8
