epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,loss
5,940,0.15419,218.831055,184.860245,0.541667,0.647473,403.691284
5,950,0.15583,57.684521,43.840488,0.5625,0.652216,101.525009
5,960,0.15747,13.982936,9.351765,0.479167,0.656909,23.334702
5,970,0.15911,2.674925,1.338796,0.541667,0.661551,4.013721
5,980,0.16076,2.058583,0.908192,0.4375,0.666143,2.966775
5,990,0.1624,1.913773,0.740412,0.520833,0.670685,2.654185
5,1000,0.16404,1.950294,0.777576,0.5,0.675177,2.72787
5,1010,0.16568,1.984079,0.695218,0.625,0.67962,2.679297
6,1020,0.16732,1.971322,0.761059,0.479167,0.684013,2.73238
6,1030,0.16897,1.951823,0.871132,0.5,0.688358,2.822955
6,1040,0.17061,1.82784,0.821921,0.583333,0.692653,2.649761
6,1050,0.17225,1.940828,1.403197,0.520833,0.6969,3.344025
6,1060,0.17389,2.140759,2.951234,0.5,0.701099,5.091993
6,1070,0.17553,2.357163,10.192193,0.5,0.705249,12.549356
6,1080,0.17718,14.620513,37.975368,0.541667,0.709352,52.595882
6,1090,0.17882,32.626865,64.047806,0.541667,0.713407,96.674667
6,1100,0.18046,70.264488,110.575264,0.541667,0.717415,180.839752
6,1110,0.1821,455.766876,551.318909,0.5625,0.721376,1007.085815
6,1120,0.18374,420.628693,223.247726,0.645833,0.725291,643.876404
6,1130,0.18539,95.869751,77.091644,0.458333,0.729159,172.961395
6,1140,0.18703,21.540628,21.417559,0.520833,0.732981,42.958187
6,1150,0.18867,6.709498,6.07436,0.479167,0.736758,12.783857
6,1160,0.19031,2.670539,2.598412,0.520833,0.740488,5.268951
6,1170,0.19195,2.255294,1.539236,0.458333,0.744174,3.79453
6,1180,0.1936,2.405807,0.797398,0.645833,0.747815,3.203205
6,1190,0.19524,2.706037,0.962765,0.604167,0.751412,3.668802
6,1200,0.19688,2.04989,1.260941,0.479167,0.754965,3.31083
6,1210,0.19852,2.721821,1.625485,0.5,0.758473,4.347306
