epoch,step,train_cls_loss,train_domain_loss,train_disc_acc,train_alpha,train_loss,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1,val_mean_accuracy,val_mean_macro_f1,val_worst_accuracy,val_worst_macro_f1,best,epoch_time_s
1,203,175.268458,1864.323135,0.547722,0.082544,2039.591572,0.122754,0.031238,0.12439,0.031608,0.19403,0.046429,0.147058,0.036425,0.122754,0.031238,1,49.3
2,406,4.257246,18.76285,0.490661,0.244002,23.020096,0.086826,0.036613,0.092683,0.04173,0.117271,0.045002,0.098927,0.041115,0.086826,0.036613,1,47.6
3,609,31.351734,105.686588,0.498666,0.393003,137.038322,0.110778,0.028494,0.090244,0.02365,0.057569,0.015553,0.086197,0.022566,0.057569,0.015553,0,50.8
4,812,85.783313,160.497338,0.509134,0.523908,246.280651,0.287425,0.158478,0.165854,0.090437,0.19403,0.135488,0.21577,0.128134,0.165854,0.090437,1,50.8
5,1015,137.552091,205.569669,0.502874,0.634028,343.12176,0.257485,0.058503,0.219512,0.051429,0.172708,0.042078,0.216568,0.05067,0.172708,0.042078,0,49.8
6,1218,67.292481,74.078581,0.52227,0.723325,141.371062,0.260479,0.071627,0.226829,0.07071,0.140725,0.087961,0.209344,0.076766,0.140725,0.07071,0,49.4
7,1421,203.111785,215.00893,0.500103,0.793602,418.120711,0.07485,0.040593,0.102439,0.056458,0.189765,0.110876,0.122352,0.069309,0.07485,0.040593,0,50.5
8,1624,499.265762,561.856574,0.483682,0.847617,1061.122333,0.113772,0.029186,0.185366,0.04468,0.166311,0.040742,0.15515,0.038202,0.113772,0.029186,0,49.1
9,1827,711374686.239223,744628947.654708,0.499282,0.888383,1456003625.510119,0.257485,0.058503,0.219512,0.051429,0.172708,0.042078,0.216568,0.05067,0.172708,0.042078,0,50.8
