model,n_shape,n_texture,n_other,shape_bias_pct,coverage_pct,mean_max_conf
resnet50,187,28,16,86.97674418604652,93.07359307359307,0.8497063517570496
vit_b16,214,7,10,96.83257918552036,95.67099567099567,0.9203575253486633
clip_linear,215,9,7,95.98214285714286,96.96969696969697,0.23662333190441132
clip_zeroshot,212,12,7,94.64285714285714,96.96969696969697,0.8930792212486267
