model,accuracy,macro_f1,mean_max_conf
resnet50,0.978,0.9780357293461304,0.9438523650169373
vit_b16,0.974,0.9739159548607923,0.9659504294395447
clip_linear,0.982,0.9819754552035352,0.3343687653541565
clip_zeroshot,0.968,0.967524079946368,0.9426957964897156
