class,n_target,source_only_acc,dan_acc,dan_delta,dann_acc,dann_delta,cdan_acc,cdan_delta
dog,772,0.2539,0.421,0.1671,0.0013,-0.2526,0.6425,0.3886
elephant,740,0.7149,0.5257,-0.1892,0.0,-0.7149,0.0014,-0.7135
giraffe,753,0.3426,0.5963,0.2537,0.0784,-0.2643,0.1979,-0.1448
guitar,608,0.9178,0.8536,-0.0641,0.0181,-0.8997,0.9753,0.0576
horse,816,0.6924,0.7255,0.0331,0.0012,-0.6912,0.9498,0.2574
house,80,0.675,1.0,0.325,1.0,0.325,1.0,0.325
person,160,0.9562,0.475,-0.4813,0.0,-0.9562,0.5312,-0.425
