lambda_mmd,run,best_epoch,train_mmd2_best_epoch,val_mean_acc,val_mean_macro_f1,val_worst_macro_f1,target_accuracy,target_macro_f1,target_delta_acc_vs_source_only,domain_separability
0.1,dan_lmmd0p1,3,0.2163,0.9462,0.9453,0.9176,0.6839,0.6518,0.0952,0.9794
1.0,dan,4,0.1677,0.9405,0.9405,0.9059,0.6185,0.5749,0.0298,0.9451
10.0,dan_lmmd10,9,0.1266,0.8724,0.8707,0.8264,0.6951,0.6433,0.1064,0.8283
