epoch,lr,train_loss,train_l_known,train_l_classifier_ph,train_l_data_ph,train_mix_to_dummy,train_known_dummy_2nd,train_acc,val_acc,val_loss,seconds,best
1,0.001,0.5941168665885925,0.07852236181497574,0.21033975481987,3.052551746368408,0.06040000170469284,0.9648000001907349,0.9988889098167419,0.9494,0.189124951171875,38.6,1
2,0.0009990133642141358,0.33569076657295227,0.10333801060914993,0.02484213560819626,2.0751049518585205,0.1082666665315628,0.9997333288192749,0.9991111159324646,0.9484,0.1889370574951172,21.0,0
3,0.000996057350657239,0.306636780500412,0.09986535459756851,0.018552472814917564,1.8821889162063599,0.14773333072662354,0.9997333288192749,0.9993333220481873,0.9422,0.21280278930664062,20.5,0
4,0.0009911436253643444,0.2772740125656128,0.10080636292695999,0.018259985372424126,1.5820757150650024,0.24604444205760956,0.9996889233589172,0.9986222386360168,0.92,0.290066455078125,20.3,0
5,0.0009842915805643156,0.17890042066574097,0.07976881414651871,0.021724175661802292,0.7740739583969116,0.6185333132743835,0.9989333152770996,0.9978222250938416,0.9178,0.31664249267578126,20.5,0
6,0.0009755282581475769,0.09748393297195435,0.048978857696056366,0.022607706487178802,0.2589733898639679,0.9405333399772644,0.9985333681106567,0.9974666833877563,0.9282,0.29159413452148436,20.3,0
7,0.0009648882429441258,0.06608903408050537,0.03399115055799484,0.01848369650542736,0.13614189624786377,0.9890666604042053,0.9990222454071045,0.9979110956192017,0.9308,0.30659505004882814,20.2,0
8,0.0009524135262330099,0.05133645236492157,0.026246894150972366,0.015632303431630135,0.09457274526357651,0.9964889287948608,0.9991111159324646,0.9988000392913818,0.9302,0.32642152099609373,20.1,0
9,0.0009381533400219318,0.049608588218688965,0.026884963735938072,0.014674972742795944,0.08048652112483978,0.9973778128623962,0.9989333152770996,0.9982666969299316,0.9338,0.3051779907226562,19.9,0
10,0.0009221639627510075,0.040664009749889374,0.02133522927761078,0.013048835098743439,0.06279972940683365,0.9991999864578247,0.9991111159324646,0.9986667037010193,0.9374,0.30233116455078124,20.0,0
11,0.0009045084971874736,0.040027692914009094,0.022202137857675552,0.012615063227713108,0.052105117589235306,0.9994222521781921,0.9986667037010193,0.9980888962745667,0.9368,0.3087681823730469,20.2,0
12,0.0008852566213878945,0.03244815394282341,0.01727263443171978,0.010707348585128784,0.044681672006845474,0.9998666644096375,0.999155580997467,0.998977780342102,0.9372,0.2859544860839844,20.7,0
13,0.0008644843137107056,0.03455497696995735,0.019282454624772072,0.011237526312470436,0.04034991189837456,0.9998222589492798,0.9986222386360168,0.9984444379806519,0.9312,0.33798963623046874,20.4,0
