epoch,step,progress,cls_loss,mmd,feat_norm,loss
1,10,0.00148,1.795804,0.216455,23.989101,3.960351
1,20,0.00312,1.338739,0.236978,43.957989,3.70852
1,30,0.00476,1.100702,0.234794,57.425743,3.448641
1,40,0.0064,0.977719,0.178143,61.531414,2.759151
1,50,0.00805,0.819007,0.243178,63.672009,3.250786
1,60,0.00969,0.870952,0.174043,63.926186,2.611382
1,70,0.01133,0.578086,0.158807,65.938118,2.166151
1,80,0.01297,0.896959,0.288241,70.386047,3.779373
1,90,0.01461,0.877635,0.115966,66.344894,2.037298
1,100,0.01626,0.74872,0.165549,54.75642,2.404208
1,110,0.0179,0.690405,0.128064,55.499676,1.971044
1,120,0.01954,0.553141,0.139834,56.390636,1.951478
1,130,0.02118,0.596488,0.143511,57.381958,2.031598
1,140,0.02282,0.728283,0.26476,54.696899,3.375884
1,150,0.02447,0.57292,0.106283,49.149223,1.635754
1,160,0.02611,0.630255,0.212763,55.32896,2.757883
1,170,0.02775,0.678509,0.103589,65.952576,1.714398
1,180,0.02939,0.634866,0.268662,55.871475,3.321491
1,190,0.03103,0.236515,0.20434,74.570145,2.279912
1,200,0.03268,0.415264,0.13732,70.210236,1.788462
2,210,0.03432,0.234532,0.15593,54.425865,1.793835
2,220,0.03596,0.508585,0.117918,72.087883,1.687763
2,230,0.0376,0.243165,0.138336,76.511169,1.626527
2,240,0.03924,0.423882,0.151104,62.901215,1.934922
2,250,0.04089,0.794689,0.293737,60.656853,3.732061
2,260,0.04253,0.546494,0.225313,62.293999,2.799625
2,270,0.04417,0.604847,0.090486,67.59407,1.509708
2,280,0.04581,0.725634,0.111856,71.063965,1.844189
2,290,0.04745,0.858172,0.068426,48.182598,1.542435
2,300,0.0491,0.443468,0.232792,54.440689,2.771385
2,310,0.05074,0.300918,0.200756,77.18737,2.308479
2,320,0.05238,0.536009,0.070286,75.758469,1.238867
2,330,0.05402,0.316157,0.147389,64.602066,1.790044
2,340,0.05567,0.861276,0.096184,72.934464,1.823111
2,350,0.05731,0.778611,0.374705,87.000847,4.525665
2,360,0.05895,0.598742,0.082065,68.648376,1.419388
2,370,0.06059,0.664217,0.060721,63.149231,1.271424
2,380,0.06223,0.622441,0.163266,94.442833,2.255105
2,390,0.06388,0.429526,0.178271,113.40567,2.212232
2,400,0.06552,0.370633,0.117701,70.388153,1.547643
3,410,0.06716,0.704899,0.092632,68.284172,1.63122
3,420,0.0688,0.578857,0.071998,73.934845,1.298836
3,430,0.07044,0.620365,0.297554,81.035599,3.59591
3,440,0.07209,0.26614,0.150443,93.575668,1.770568
3,450,0.07373,0.694743,0.084328,78.898827,1.538025
3,460,0.07537,0.355553,0.250957,80.412941,2.865118
3,470,0.07701,0.520869,0.208404,82.885551,2.604912
3,480,0.07865,0.872901,0.125477,90.604889,2.127674
3,490,0.0803,0.560608,0.178287,120.199303,2.343476
3,500,0.08194,0.501545,0.159982,101.69873,2.101364
3,510,0.08358,0.76819,0.080714,68.002533,1.575335
3,520,0.08522,0.565783,0.067735,93.188461,1.24313
3,530,0.08686,0.814543,0.077629,71.217422,1.590831
3,540,0.08851,0.620324,0.382079,114.215538,4.441115
3,550,0.09015,0.50688,0.220835,141.773529,2.715227
3,560,0.09179,0.49524,0.153478,67.060997,2.030024
3,570,0.09343,0.522344,0.341553,75.340508,3.937876
3,580,0.09507,0.801949,0.083318,66.66217,1.635127
3,590,0.09672,0.253511,0.079948,97.108887,1.052993
3,600,0.09836,0.872366,0.092883,103.333893,1.801199
4,610,0.1,0.419274,0.209179,74.648209,2.511063
4,620,0.10164,0.634164,0.163415,67.712273,2.268311
4,630,0.10328,0.631542,0.070082,82.369446,1.332364
4,640,0.10493,0.455254,0.085449,111.571678,1.309746
4,650,0.10657,0.224382,0.084526,95.794273,1.069638
4,660,0.10821,0.602822,0.127046,104.462189,1.873278
4,670,0.10985,0.185383,0.061536,73.73735,0.800744
4,680,0.11149,0.313346,0.055895,97.77977,0.872299
4,690,0.11314,0.518831,0.116694,98.832062,1.685768
4,700,0.11478,0.303993,0.127959,97.385765,1.583578
4,710,0.11642,0.561269,0.124811,103.887009,1.809381
4,720,0.11806,0.326196,0.225326,105.957878,2.579459
4,730,0.1197,0.806623,0.174928,100.642563,2.5559
4,740,0.12135,0.412433,0.534396,78.921494,5.756392
4,750,0.12299,0.413503,0.126283,104.092087,1.676329
4,760,0.12463,1.025368,0.138156,73.771385,2.406932
4,770,0.12627,0.499694,0.096286,72.305161,1.462557
4,780,0.12791,0.710481,0.100205,68.69191,1.712535
4,790,0.12956,0.715877,0.12005,93.101212,1.916377
4,800,0.1312,0.435385,0.144006,104.444,1.875447
4,810,0.13284,0.733161,0.044009,157.450745,1.173249
5,820,0.13448,0.572934,0.06218,82.228592,1.194736
5,830,0.13612,0.927928,0.083971,144.977295,1.767636
5,840,0.13777,0.905315,0.365989,66.306671,4.565209
5,850,0.13941,1.182409,0.147321,62.315289,2.655622
5,860,0.14105,0.558374,0.123435,66.324883,1.792719
5,870,0.14269,0.394902,0.170361,103.09848,2.098507
5,880,0.14433,0.316504,0.133337,113.670517,1.649872
5,890,0.14598,0.40806,0.10871,134.911087,1.495162
5,900,0.14762,0.979131,0.238669,130.260544,3.365825
5,910,0.14926,0.605396,0.079887,129.104233,1.404266
5,920,0.1509,0.60906,0.080201,106.217285,1.411071
5,930,0.15255,0.952791,0.171575,278.577484,2.668537
5,940,0.15419,0.64918,0.216512,225.72197,2.814302
5,950,0.15583,0.323251,0.137817,141.537567,1.701418
5,960,0.15747,0.971229,0.192767,93.128868,2.898903
5,970,0.15911,0.392462,0.031497,114.545555,0.707432
5,980,0.16076,0.255198,0.057281,132.632721,0.82801
5,990,0.1624,0.586206,0.072023,169.944763,1.306433
5,1000,0.16404,0.746743,0.087862,96.22924,1.625359
5,1010,0.16568,0.961331,0.151134,65.17659,2.472669
6,1020,0.16732,0.252022,0.041615,92.793106,0.668175
6,1030,0.16897,0.288722,0.027,161.515259,0.558721
6,1040,0.17061,0.407798,0.253511,115.962387,2.942908
6,1050,0.17225,0.447048,0.096902,97.364258,1.41607
6,1060,0.17389,0.297297,0.069783,108.099884,0.995124
6,1070,0.17553,0.29776,0.035276,134.536118,0.650525
6,1080,0.17718,0.301115,0.093016,116.899132,1.231272
6,1090,0.17882,0.303166,0.229527,106.328697,2.598431
6,1100,0.18046,0.187031,0.079192,155.440735,0.978951
6,1110,0.1821,0.57687,0.045246,141.161346,1.029329
6,1120,0.18374,0.555282,0.137058,137.101334,1.92586
6,1130,0.18539,0.346286,0.189016,103.950439,2.236449
6,1140,0.18703,0.552995,0.086385,103.198021,1.416842
6,1150,0.18867,0.537585,0.256638,140.460007,3.103963
6,1160,0.19031,0.474395,0.231383,95.243126,2.788223
6,1170,0.19195,0.323123,0.062428,87.875046,0.947406
6,1180,0.1936,0.378999,0.075422,125.467583,1.133217
6,1190,0.19524,0.52686,0.05562,185.634644,1.083061
6,1200,0.19688,0.841396,0.469915,124.535355,5.540548
6,1210,0.19852,0.343232,0.05629,78.70787,0.906136
7,1220,0.20016,0.659543,0.066243,137.056061,1.321974
7,1230,0.20181,1.109666,0.080665,108.459885,1.91632
7,1240,0.20345,0.350299,0.034834,146.073273,0.698636
7,1250,0.20509,0.603419,0.046559,113.782555,1.069012
7,1260,0.20673,0.478792,0.104544,88.049438,1.524232
7,1270,0.20837,0.118412,0.181942,135.84726,1.937832
7,1280,0.21002,0.362274,0.078629,151.535461,1.14856
7,1290,0.21166,0.566127,0.096837,128.088898,1.534499
7,1300,0.2133,0.257048,0.503914,147.455139,5.296189
7,1310,0.21494,0.745782,0.064109,131.965118,1.386875
7,1320,0.21658,0.646519,0.179191,110.537598,2.438425
7,1330,0.21823,0.416514,0.093676,163.548203,1.353275
7,1340,0.21987,0.307694,0.158899,116.521202,1.89668
7,1350,0.22151,0.345594,0.075088,131.560974,1.096472
7,1360,0.22315,0.154137,0.033138,153.102325,0.48552
7,1370,0.22479,0.489676,0.244139,203.415039,2.931064
7,1380,0.22644,0.609901,0.080084,145.699127,1.410738
7,1390,0.22808,0.749051,0.10461,105.827545,1.795148
7,1400,0.22972,0.79615,0.055899,149.115723,1.355144
7,1410,0.23136,0.530582,0.061363,203.916229,1.144211
7,1420,0.233,0.442445,0.1396,147.59549,1.838443
8,1430,0.23465,1.083713,0.140182,124.589203,2.48553
8,1440,0.23629,0.384626,0.063334,244.331726,1.017968
8,1450,0.23793,0.398627,0.143701,117.442886,1.835637
8,1460,0.23957,0.353692,0.079041,139.947632,1.144107
8,1470,0.24122,0.690042,0.140173,94.15686,2.091771
8,1480,0.24286,0.573222,0.134552,95.343102,1.918744
8,1490,0.2445,0.324779,0.106847,122.471191,1.393252
8,1500,0.24614,0.417851,0.153884,100.503418,1.95669
8,1510,0.24778,0.774259,0.082621,131.580383,1.600465
